标准指标名,中文名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
video_watch_time_total,视频总观看时间,Video,-,video_watch_time_duration_millis,video_watch_time_duration_millis,video_watch_time_duration_millis,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_views,TrueView观看量,Video,-,video_trueview_views,video_trueview_views,video_trueview_views,video_trueview_views,video_trueview_views,video_trueview_views,-,-,-,-,-,-,-,-,-,-
trueview_view_rate,TrueView观看率,Video,-,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,-,-,-,-,-,-,-,-,-,-
trueview_view_rate_in_feed,信息流TrueView观看率,Video,-,video_trueview_view_rate_in_feed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_view_rate_in_stream,插播TrueView观看率,Video,-,video_trueview_view_rate_in_stream,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_view_rate_shorts,Shorts TrueView观看率,Video,-,video_trueview_view_rate_shorts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_average_cpv,平均每次观看费用,Video,-,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,-,-,-,-,-,-,-,-,-,-
engaged_view,有效观看量,Video,-,-,-,-,-,-,-,engaged_view,engaged_view,engaged_view,engaged_view,-,-,-,-,-,-
absolute_top_impression_percentage,最顶部展示率,Impression Share,-,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,-,-,-,-,-,-,-,-,-,-
top_impression_percentage,顶部展示率,Impression Share,-,top_impression_percentage,top_impression_percentage,top_impression_percentage,top_impression_percentage,top_impression_percentage,top_impression_percentage,-,-,-,-,-,-,-,-,-,-
search_impression_share,搜索展示份额,Impression Share,-,search_impression_share,search_impression_share,-,search_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_absolute_top_impression_share,搜索最顶部展示份额,Impression Share,-,search_absolute_top_impression_share,search_absolute_top_impression_share,-,search_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_exact_match_impression_share,搜索完全匹配展示份额,Impression Share,-,search_exact_match_impression_share,search_exact_match_impression_share,-,search_exact_match_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_impression_share,搜索排名丢失展示份额,Impression Share,-,search_rank_lost_impression_share,search_rank_lost_impression_share,-,search_rank_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_absolute_top_impression_share,搜索排名丢失最顶部展示份额,Impression Share,-,search_rank_lost_absolute_top_impression_share,search_rank_lost_absolute_top_impression_share,-,search_rank_lost_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_top_impression_share,搜索排名丢失顶部展示份额,Impression Share,-,search_rank_lost_top_impression_share,search_rank_lost_top_impression_share,-,search_rank_lost_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_impression_share,搜索预算丢失展示份额,Impression Share,-,search_budget_lost_impression_share,search_budget_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_absolute_top_impression_share,搜索预算丢失最顶部展示份额,Impression Share,-,search_budget_lost_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_top_impression_share,搜索预算丢失顶部展示份额,Impression Share,-,search_budget_lost_top_impression_share,search_budget_lost_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_top_impression_share,搜索顶部展示份额,Impression Share,-,search_top_impression_share,search_top_impression_share,-,search_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_click_share,搜索点击份额,Impression Share,-,search_click_share,search_click_share,-,search_click_share,-,-,-,-,-,-,-,-,-,-,-,-
content_impression_share,展示网络展示份额,Impression Share,-,content_impression_share,content_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
content_rank_lost_impression_share,展示网络排名丢失展示份额,Impression Share,-,content_rank_lost_impression_share,content_rank_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
